Age,MonthlyIncome,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Attrition
0.4463504035345031,-0.10834951351067117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Yes
1.3223652142096962,-0.29171858995657424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No
0.008342998196906572,-0.9376536912260358,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
-0.42966440714069,-0.7636336754564013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No
-1.0866755151470848,-0.6448581091374443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No
-0.5391662584750891,-0.7298495698307945,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No
2.4173837275536876,-0.814416073220678,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No
-0.7581699611438873,-0.8095290642308104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No
0.11784484953130571,0.6423375630633446,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No
-0.10115885313749257,-0.2689833742211031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
-0.2106607044718917,-0.8662608642436216,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No
-0.8676718124782865,-0.4908110866307471,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No
-0.6486681098094882,-0.7632087181529345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No
-0.3201625558062908,-0.8163283810862784,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No
-0.9771736638126857,-0.9508273676335051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
-0.8676718124782865,0.738802870950297,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No
-0.5391662584750891,-0.6809794799321182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No
-1.6341847718190805,-0.7581092305113335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No
1.7603726195472926,1.8961740869419934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No
0.11784484953130571,-0.5437182709123576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No
-1.4151810691502822,-0.5294822012462215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No
-0.10115885313749257,-0.6578193068931802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes
-0.3201625558062908,1.1667348755413154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No
-1.7436866231534796,-1.119960374413272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No
-0.3201625558062908,-0.7527972642179991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
